Latitude,Longitude,Altitude
40.919681,-73.352823,30.0
40.91968101557671,-73.35282302061435,30.0
40.919681,-73.35282302061435,30.0
40.91968098442329,-73.35282302061435,30.0
40.91968098442329,-73.352823,30.0
40.91968098442329,-73.35282297938565,30.0
40.919681,-73.35282297938565,30.0
40.91968101557671,-73.35282297938565,30.0
40.91968101557671,-73.352823,30.0
40.91968103115341,-73.3528230412287,30.0
40.91968101557671,-73.3528230412287,30.0
40.919681,-73.3528230412287,30.0
40.91968098442329,-73.3528230412287,30.0
40.919680968846585,-73.3528230412287,30.0
40.919680968846585,-73.35282302061435,30.0
40.919680968846585,-73.352823,30.0
40.919680968846585,-73.35282297938565,30.0
40.919680968846585,-73.3528229587713,30.0
40.91968098442329,-73.3528229587713,30.0
40.919681,-73.3528229587713,30.0
40.91968101557671,-73.3528229587713,30.0
40.91968103115341,-73.3528229587713,30.0
40.91968103115341,-73.35282297938565,30.0
40.91968103115341,-73.352823,30.0
40.91968103115341,-73.35282302061435,30.0
40.91968104673012,-73.35282306184305,30.0
40.91968103115341,-73.35282306184305,30.0
40.91968101557671,-73.35282306184305,30.0
40.919681,-73.35282306184305,30.0
40.91968098442329,-73.35282306184305,30.0
40.919680968846585,-73.35282306184305,30.0
40.919680953269875,-73.35282306184305,30.0
40.919680953269875,-73.3528230412287,30.0
40.919680953269875,-73.35282302061435,30.0
40.919680953269875,-73.352823,30.0
40.919680953269875,-73.35282297938565,30.0
40.919680953269875,-73.3528229587713,30.0
40.919680953269875,-73.35282293815695,30.0
40.919680968846585,-73.35282293815695,30.0
40.91968098442329,-73.35282293815695,30.0
40.919681,-73.35282293815695,30.0
40.91968101557671,-73.35282293815695,30.0
40.91968103115341,-73.35282293815695,30.0
40.91968104673012,-73.35282293815695,30.0
40.91968104673012,-73.3528229587713,30.0
40.91968104673012,-73.35282297938565,30.0
40.91968104673012,-73.352823,30.0
40.91968104673012,-73.35282302061435,30.0
40.91968104673012,-73.3528230412287,30.0
40.91968106230683,-73.3528230824574,30.0
40.91968104673012,-73.3528230824574,30.0
40.91968103115341,-73.3528230824574,30.0
40.91968101557671,-73.3528230824574,30.0
40.919681,-73.3528230824574,30.0
40.91968098442329,-73.3528230824574,30.0
40.919680968846585,-73.3528230824574,30.0
40.919680953269875,-73.3528230824574,30.0
40.919680937693165,-73.3528230824574,30.0
40.919680937693165,-73.35282306184305,30.0
40.919680937693165,-73.3528230412287,30.0
40.919680937693165,-73.35282302061435,30.0
40.919680937693165,-73.352823,30.0
40.919680937693165,-73.35282297938565,30.0
40.919680937693165,-73.3528229587713,30.0
40.919680937693165,-73.35282293815695,30.0
40.919680937693165,-73.3528229175426,30.0
40.919680953269875,-73.3528229175426,30.0
40.919680968846585,-73.3528229175426,30.0
40.91968098442329,-73.3528229175426,30.0
40.919681,-73.3528229175426,30.0
40.91968101557671,-73.3528229175426,30.0
40.91968103115341,-73.3528229175426,30.0
40.91968104673012,-73.3528229175426,30.0
40.91968106230683,-73.3528229175426,30.0
40.91968106230683,-73.35282293815695,30.0
40.91968106230683,-73.3528229587713,30.0
40.91968106230683,-73.35282297938565,30.0
40.91968106230683,-73.352823,30.0
40.91968106230683,-73.35282302061435,30.0
40.91968106230683,-73.3528230412287,30.0
40.91968106230683,-73.35282306184305,30.0
40.91968107788353,-73.35282310307176,30.0
40.91968106230683,-73.35282310307176,30.0
40.91968104673012,-73.35282310307176,30.0
40.91968103115341,-73.35282310307176,30.0
40.91968101557671,-73.35282310307176,30.0
40.919681,-73.35282310307176,30.0
40.91968098442329,-73.35282310307176,30.0
40.919680968846585,-73.35282310307176,30.0
