Latitude,Longitude,Altitude
40.919681,-73.352823,30.0
40.919681008993216,-73.3528230119017,30.0
40.919681,-73.3528230119017,30.0
40.91968099100678,-73.3528230119017,30.0
40.91968099100678,-73.352823,30.0
40.91968099100678,-73.3528229880983,30.0
40.919681,-73.3528229880983,30.0
40.919681008993216,-73.3528229880983,30.0
40.919681008993216,-73.352823,30.0
40.91968101798643,-73.35282302380341,30.0
40.919681008993216,-73.35282302380341,30.0
40.919681,-73.35282302380341,30.0
40.91968099100678,-73.35282302380341,30.0
40.91968098201357,-73.35282302380341,30.0
40.91968098201357,-73.3528230119017,30.0
40.91968098201357,-73.352823,30.0
40.91968098201357,-73.3528229880983,30.0
40.91968098201357,-73.35282297619659,30.0
40.91968099100678,-73.35282297619659,30.0
40.919681,-73.35282297619659,30.0
40.919681008993216,-73.35282297619659,30.0
40.91968101798643,-73.35282297619659,30.0
40.91968101798643,-73.3528229880983,30.0
40.91968101798643,-73.352823,30.0
40.91968101798643,-73.3528230119017,30.0
40.919681026979646,-73.3528230357051,30.0
40.91968101798643,-73.3528230357051,30.0
40.919681008993216,-73.3528230357051,30.0
40.919681,-73.3528230357051,30.0
40.91968099100678,-73.3528230357051,30.0
40.91968098201357,-73.3528230357051,30.0
40.91968097302035,-73.3528230357051,30.0
40.91968097302035,-73.35282302380341,30.0
40.91968097302035,-73.3528230119017,30.0
40.91968097302035,-73.352823,30.0
40.91968097302035,-73.3528229880983,30.0
40.91968097302035,-73.35282297619659,30.0
40.91968097302035,-73.3528229642949,30.0
40.91968098201357,-73.3528229642949,30.0
40.91968099100678,-73.3528229642949,30.0
40.919681,-73.3528229642949,30.0
40.919681008993216,-73.3528229642949,30.0
40.91968101798643,-73.3528229642949,30.0
40.919681026979646,-73.3528229642949,30.0
40.919681026979646,-73.35282297619659,30.0
40.919681026979646,-73.3528229880983,30.0
40.919681026979646,-73.352823,30.0
40.919681026979646,-73.3528230119017,30.0
40.919681026979646,-73.35282302380341,30.0
40.919681035972864,-73.3528230476068,30.0
40.919681026979646,-73.3528230476068,30.0
40.91968101798643,-73.3528230476068,30.0
40.919681008993216,-73.3528230476068,30.0
40.919681,-73.3528230476068,30.0
40.91968099100678,-73.3528230476068,30.0
40.91968098201357,-73.3528230476068,30.0
40.91968097302035,-73.3528230476068,30.0
40.91968096402713,-73.3528230476068,30.0
40.91968096402713,-73.3528230357051,30.0
40.91968096402713,-73.35282302380341,30.0
40.91968096402713,-73.3528230119017,30.0
40.91968096402713,-73.352823,30.0
40.91968096402713,-73.3528229880983,30.0
40.91968096402713,-73.35282297619659,30.0
40.91968096402713,-73.3528229642949,30.0
40.91968096402713,-73.3528229523932,30.0
40.91968097302035,-73.3528229523932,30.0
40.91968098201357,-73.3528229523932,30.0
40.91968099100678,-73.3528229523932,30.0
40.919681,-73.3528229523932,30.0
40.919681008993216,-73.3528229523932,30.0
40.91968101798643,-73.3528229523932,30.0
40.919681026979646,-73.3528229523932,30.0
40.919681035972864,-73.3528229523932,30.0
40.919681035972864,-73.3528229642949,30.0
40.919681035972864,-73.35282297619659,30.0
40.919681035972864,-73.3528229880983,30.0
40.919681035972864,-73.352823,30.0
40.919681035972864,-73.3528230119017,30.0
40.919681035972864,-73.35282302380341,30.0
40.919681035972864,-73.3528230357051,30.0
40.919681044966076,-73.35282305950851,30.0
40.919681035972864,-73.35282305950851,30.0
40.919681026979646,-73.35282305950851,30.0
40.91968101798643,-73.35282305950851,30.0
40.919681008993216,-73.35282305950851,30.0
40.919681,-73.35282305950851,30.0
40.91968099100678,-73.35282305950851,30.0
40.91968098201357,-73.35282305950851,30.0
40.91968097302035,-73.35282305950851,30.0
40.91968096402713,-73.35282305950851,30.0
40.91968095503392,-73.35282305950851,30.0
40.91968095503392,-73.3528230476068,30.0
